witel;name;lat;lon;kandatel;status_occ;service_port;device_port;image
1;ODP-PKL-FCL/63 FCL/63;-6.90194;109.66503;PEKALONGAN;RED;1;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_merah.png
1;ODP-PKL-FCL/72 FCL/72;-6.9002;109.6553;PEKALONGAN;RED;0;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_merah.png
1;ODP-PKL-FCL/73 FCL/73;-6.903972;109.677861;PEKALONGAN;RED;1;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_merah.png
1;ODP-PKL-FCL/74;-6.903;109.678083;PEKALONGAN;RED;0;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_merah.png
1;ODP-PKL-FCT/001 FCT/D01/001.01;-6.896321;109.651283;PEKALONGAN;YELLOW;4;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_kuning.png
1;ODP-PKL-FCT/002 FCT/D02/002.01;-6.894231;109.652627;PEKALONGAN;YELLOW;3;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_kuning.png
1;ODP-PKL-FCT/003 FCT/D02/003.01;-6.893464;109.653306;PEKALONGAN;YELLOW;2;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_kuning.png
1;ODP-PKL-FCT/004 FCT/D02/004.01;-6.89616;109.653157;PEKALONGAN;RED;0;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_merah.png
1;ODP-PKL-FCT/005 FCT/D03/005.01;-6.8978;109.6578;PEKALONGAN;RED;0;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_merah.png
1;ODP-PKL-FCT/006 FCT/D03/006.01;-6.8962;109.6579;PEKALONGAN;YELLOW;3;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_kuning.png
1;ODP-PKL-FCT/007 FCT/D03/007.01;-6.8952;109.6577;PEKALONGAN;RED;0;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_merah.png
1;ODP-PKL-FCT/008 FCT/D03/008.01;-6.893636;109.657906;PEKALONGAN;RED;1;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_merah.png
